Time,Source,Destination,Protocol,Length,Frame,Ethernet Src,Ethernet Dest,IP Source,IP Dest,TCP/UDP,Src Port,Dest Port,Label
18.250977,81.131.67.131,71.99.125.80.rev.sfr.net,UDP,61,361,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,81.131.67.131,Transmission Control Protocol,2818,80,Ftp
18.250977,81.131.67.131,82.92.21.6,UDP,61,461,01:00:01:00:00:00,01:00:01:00:00:00, 82.232.4.28,24.11.146.28,Transmission Control Protocol,80,80,Ftp
18.266602,81.131.67.131,h35.21.55.139.dynamic.ip.windstream.net,UDP,428,5428,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,81.131.67.131,User Datagram Protocol       ,17342,80,Ftp
18.344727,fpigw.ksc.gr.jp,81.131.67.131,TCP,1514,61514,1a:43:20:00:01:00,1a:43:20:00:01:00,81.131.67.131,81.131.67.131,Transmission Control Protocol,2727,2727,Ftp
18.344727,213.19.160.190,81.131.67.131,TCP,62,762,1a:43:20:00:01:00,1a:43:20:00:01:00,81.131.67.131,81.131.67.131,User Datagram Protocol       ,17342,41730,Ftp
18.344727,81.131.67.131,213.19.160.190,TCP,54,854,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,70.27.127.185,Transmission Control Protocol,6346,80,Ftp
18.344727,81.131.67.131,fpigw.ksc.gr.jp,TCP,54,954,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,81.131.67.131,Transmission Control Protocol,6346,41730,Ftp
18.360352,81.131.67.131,213.19.160.190,HTTP,336,336,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,210.146.64.4,User Datagram Protocol       ,41730,1595,Ftp
18.625977,fpigw.ksc.gr.jp,81.131.67.131,TCP,1514,11514,1a:43:20:00:01:00,1a:43:20:00:01:00,81.131.67.131,81.131.67.131,User Datagram Protocol       ,6347,2094,Ftp
18.625977,c-24-11-146-28.hsd1.az.comcast.net,81.131.67.131,UDP,50,250,1a:43:20:00:01:00,1a:43:20:00:01:00,210.146.64.4,82.232.4.28,Transmission Control Protocol,6346,1734,Ftp
18.625977,81.131.67.131,fpigw.ksc.gr.jp,TCP,54,354,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,81.131.67.1 ,Transmission Control Protocol,2094,41730,Ftp
18.657227,c-24-11-146-28.hsd1.az.comcast.net,81.131.67.131,UDP,54,454,1a:43:20:00:01:00,1a:43:20:00:01:00,81.131.67.131,81.131.67.131,Transmission Control Protocol,1595,2814,Ftp
18.657227,nwcsnbsc11w-142-68-189-57.pppoe-dynamic.high-speed.nb.bellalian,81.131.67.131,Gnutella,116,5116,1a:43:20:00:01:00,1a:43:20:00:01:00,5.184.193.172,209.89.41.78,Transmission Control Protocol,80,6346,Ftp
18.672852,galton0412w-grc-02-70-27-127-185.dsl.bell.ca,81.131.67.131,Gnutella,85,685,1a:43:20:00:01:00,1a:43:20:00:01:00, 62.74.99.96,82.232.4.28,Transmission Control Protocol,2727,6346,Ftp
18.688477,81.131.67.131,c-24-11-146-28.hsd1.az.comcast.net,UDP,50,750,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,84.97.114.126,Transmission Control Protocol,6346,2727,Ftp
18.688477,200-158-81-150.dsl.telesp.net.br,81.131.67.131,ICMP,70,870,1a:43:20:00:01:00,1a:43:20:00:01:00,81.131.67.131,84.156.173.210,Transmission Control Protocol,2814,80,Ftp
18.688477,dalidor.if.uj.edu.pl,81.131.67.131,UDP,50,950,1a:43:20:00:01:00,1a:43:20:00:01:00,81.131.67.131,82.92.79.199,Transmission Control Protocol,6346,2814,Ftp
18.688477,cal69-1-82-232-4-28.fbx.proxad.net,81.131.67.131,TCP,54,54,1a:43:20:00:01:00,1a:43:20:00:01:00,81.131.67.131,68.21.34.173,Transmission Control Protocol,2819,6346,Ftp
18.813477,81.131.67.131,galton0412w-grc-02-70-27-127-185.dsl.bell.ca,TCP,54,154,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,81.241.94.212,Transmission Control Protocol,2814,2814,Ftp
18.813477,81.131.67.131,nwcsnbsc11w-142-68-189-57.pppoe-dynamic.high-speed.nb.bellalian,TCP,54,254,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,81.131.67.131,User Datagram Protocol       ,41730,41061,Ftp
18.985352,fpigw.ksc.gr.jp,81.131.67.131,TCP,1514,31514,1a:43:20:00:01:00,1a:43:20:00:01:00,81.131.67.131,82.171.96.179,User Datagram Protocol       ,41730,6346,Ftp
18.985352,81.131.67.131,fpigw.ksc.gr.jp,TCP,54,454,01:00:01:00:00:00,01:00:01:00:00:00,210.146.64.4,80.185.105.19,User Datagram Protocol       ,41730,6347,Ftp
19.079102,cal69-1-82-232-4-28.fbx.proxad.net,81.131.67.131,Gnutella,595,5595,1a:43:20:00:01:00,1a:43:20:00:01:00,81.131.67.131,81.131.67.131,User Datagram Protocol       ,41730,6346,Ftp
19.094727,81.131.67.131,cal69-1-82-232-4-28.fbx.proxad.net,TCP,54,654,01:00:01:00:00:00,01:00:01:00:00:00, 211.28.6.30,81.131.67.131,User Datagram Protocol       ,41730,6346,Ftp
19.094727,212.155.203.62.dynamic.wline.res.cust.swisscom.ch,81.131.67.131,ICMP,70,770,1a:43:20:00:01:00,1a:43:20:00:01:00,139.18.25.33,172.177.184.179,Transmission Control Protocol,80,6346,Ftp
19.094727,cal69-1-82-232-4-28.fbx.proxad.net,81.131.67.131,TCP,54,854,1a:43:20:00:01:00,1a:43:20:00:01:00,81.131.67.131,172.186.173.245,User Datagram Protocol       ,41730,6346,Ftp
19.094727,81.131.67.131,s209-89-41-78.ab.hsia.telus.net,TCP,62,962,01:00:01:00:00:00,01:00:01:00:00:00,68.34.169.230,207.216.13.37,User Datagram Protocol       ,41730,2727,Ftp
19.110352,81.131.67.131,cal69-1-82-232-4-28.fbx.proxad.net,TCP,54,54,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,85.96.110.115,Transmission Control Protocol,33580,6346,Ftp
19.329102,81.131.67.131,126.114.97.84.rev.sfr.net,UDP,61,161,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,62.74.99.96,Transmission Control Protocol,2588,6346,Ftp
19.329102,81.131.67.131,p549CADD2.dip0.t-ipconnect.de,UDP,61,261,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,82.44.146.7 ,User Datagram Protocol       ,41730,2817,Ftp
19.344727,81.131.67.131,82.92.79.199,UDP,61,361,01:00:01:00:00:00,01:00:01:00:00:00,210.146.64.4,210.146.64.4,User Datagram Protocol       ,41730,1216,Ftp
19.360352,81.131.67.131,68.21.34.173,UDP,61,461,01:00:01:00:00:00,01:00:01:00:00:00,80.125.99.71,81.131.67.131,User Datagram Protocol       ,41730,6346,Ftp
19.375977,81.131.67.131,212.94-241-81.adsl-dyn.isp.belgacom.be,UDP,61,561,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,210.146.64.4,User Datagram Protocol       ,41730,6346,Ftp
19.391602,fpigw.ksc.gr.jp,81.131.67.131,TCP,1514,61514,1a:43:20:00:01:00,1a:43:20:00:01:00,81.131.67.131,81.131.67.131,Transmission Control Protocol,1216,6346,Ftp
19.391602,81.131.67.131,static.kpn.net,UDP,61,761,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,81.131.67.131,User Datagram Protocol       ,41730,6346,Ftp
19.407227,81.131.67.131,19.105.185.80.rev.sfr.net,UDP,61,861,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,192.88.99.1,Transmission Control Protocol,2727,2588,Ftp
19.407227,cpe-65-184-193-172.ec.res.rr.com,81.131.67.131,TCP,54,954,1a:43:20:00:01:00,1a:43:20:00:01:00,81.131.67.131,81.131.67.131,Transmission Control Protocol,80,34087,Ftp
19.407227,dyn96.the4.nas.panafonet.gr,81.131.67.131,TCP,62,62,1a:43:20:00:01:00,1a:43:20:00:01:00,81.131.67.131,68.34.169.230,Transmission Control Protocol,2727,80,Ftp
19.407227,81.131.67.131,172.177.184.179,UDP,61,161,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,211.28.6.30,Transmission Control Protocol,6348,2727,Ftp
19.422852,81.131.67.131,172.186.173.245,UDP,61,261,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,38.115.4.204,Transmission Control Protocol,21,80,Ftp
19.438477,81.131.67.131,d207-216-13-37.bchsia.telus.net,UDP,61,361,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,81.131.67.131,Transmission Control Protocol,1026,2769,Ftp
19.454102,81.131.67.131,85.96.110.115.dynamic.ttnet.com.tr,UDP,61,461,01:00:01:00:00:00,01:00:01:00:00:00,38.115.4.204,81.131.67.131,Transmission Control Protocol,6346,1026,Ftp
19.469727,81.131.67.131,dyn96.the4.nas.panafonet.gr,TCP,54,554,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,210.146.64.4,Transmission Control Protocol,2433,21,Ftp
19.485352,81.131.67.131,cpc100736-sgyl37-2-0-cust71.18-2.cable.virginm.net,UDP,61,661,01:00:01:00:00:00,01:00:01:00:00:00, 211.28.6.30,62.167.89.152,Transmission Control Protocol,2769,2433,Ftp
19.485352,81.131.67.131,fpigw.ksc.gr.jp,TCP,54,754,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,83.116.155.57,Transmission Control Protocol,2667,6346,Ftp
19.704102,fpigw.ksc.gr.jp,81.131.67.131,TCP,1514,81514,1a:43:20:00:01:00,1a:43:20:00:01:00,13.19.160.190,85.135.146.10,Transmission Control Protocol,80,6348,Ftp
19.704102,81.131.67.131,fpigw.ksc.gr.jp,TCP,54,954,01:00:01:00:00:00,01:00:01:00:00:00,13.19.160.190,80.144.139.239,User Datagram Protocol       ,6346,21284,Ftp
19.891602,211.28.6.30,81.131.67.131,TCP,1078,1078,1a:43:20:00:01:00,1a:43:20:00:01:00,81.131.67.131,81.244.90.24,Transmission Control Protocol,2727,2727,Ftp
19.948243,6bone.informatik.uni-leipzig.de,2002:5183:4383::5183:4383,FTP,143,1143,1a:43:20:00:01:00,1a:43:20:00:01:00,81.131.67.131,219.137.42.1,User Datagram Protocol       ,41730,41730,Ftp
19.950196,2002:5183:4383::5183:4383,6bone.informatik.uni-leipzig.de,FTP,105,2105,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,218.86.72.220,User Datagram Protocol       ,41730,80,Ftp
19.960938,c-68-34-169-230.hsd1.va.comcast.net,81.131.67.131,TCP,115,3115,1a:43:20:00:01:00,1a:43:20:00:01:00,81.131.67.131,68.6.198.57,User Datagram Protocol       ,41730,6346,Ftp
19.962891,81.131.67.131,c-68-34-169-230.hsd1.va.comcast.net,TCP,77,477,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,81.131.67.131,User Datagram Protocol       ,41730,6346,Ftp
20.007813,81.131.67.131,211.28.6.30,TCP,54,554,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,38.115.4.204,User Datagram Protocol       ,41730,6346,Ftp
20.013672,81.131.67.131,38.115.4.204,TCP,62,662,01:00:01:00:00:00,01:00:01:00:00:00,210.146.64.4,81.131.67.131,User Datagram Protocol       ,41730,6346,Ftp
20.235352,fpigw.ksc.gr.jp,81.131.67.131,TCP,1514,71514,1a:43:20:00:01:00,1a:43:20:00:01:00,81.131.67.131,211.28.6.30,User Datagram Protocol       ,41730,6346,Ftp
20.235352,71.99.125.80.rev.sfr.net,81.131.67.131,UDP,50,850,1a:43:20:00:01:00,1a:43:20:00:01:00,210.146.64.4,81.131.67.131,User Datagram Protocol       ,41730,6346,Ftp
20.235352,81.131.67.131,fpigw.ksc.gr.jp,TCP,54,954,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,81.131.67.131,Transmission Control Protocol,21284,3638,Ftp
20.422852,81.131.67.131,adsl-62-167-89-152.adslplus.ch,UDP,61,61,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,213.19.160.190,Transmission Control Protocol,2667,6347,Ftp
20.422852,81.131.67.131,adsl-dc-2fd39.adsl.online.nl,UDP,61,161,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,38.115.4.204,Transmission Control Protocol,6348,2667,Ftp
20.438477,81.131.67.131,85-135-146-10.adsl.slovanet.sk,UDP,61,261,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,139.168.32.121,Transmission Control Protocol,2769,21284,Ftp
20.454102,81.131.67.131,p50908BEF.dip0.t-ipconnect.de,UDP,61,361,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,213.54.85.41,Transmission Control Protocol,80,2769,Ftp
20.469727,81.131.67.131,24.90-244-81.adsl-dyn.isp.belgacom.be,UDP,61,461,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,82.216.238.111,Transmission Control Protocol,80,6348,Ftp
20.485352,81.131.67.131,1.42.137.219.broad.gz.gd.dynamic.163data.com.cn,UDP,61,561,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,38.115.4.204,Transmission Control Protocol,2818,2818,Ftp
20.485352,81.131.67.131,218.86.72.220,UDP,61,661,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,81.131.67.131,User Datagram Protocol       ,41730,2818,Ftp
20.500977,81.131.67.131,ip68-6-198-57.sd.sd.cox.net,UDP,61,761,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,210.146.64.4,User Datagram Protocol       ,41730,80,Ftp
20.547852,38.115.4.204,81.131.67.131,TCP,1514,81514,1a:43:20:00:01:00,1a:43:20:00:01:00,13.19.160.190,81.131.67.131,User Datagram Protocol       ,41730,2128,Ftp
20.766602,81.131.67.131,38.115.4.204,TCP,54,954,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,210.146.64.4,User Datagram Protocol       ,41730,6346,Ftp
20.813477,211.28.6.30,81.131.67.131,TCP,1514,1514,1a:43:20:00:01:00,1a:43:20:00:01:00,81.131.67.131,81.131.67.131,User Datagram Protocol       ,41730,6346,Ftp
20.813477,81.131.67.131,211.28.6.30,TCP,54,154,01:00:01:00:00:00,01:00:01:00:00:00,210.146.64.4,84.56.231.17 ,Transmission Control Protocol,80,80,Ftp
20.844727,213.19.160.190,81.131.67.131,TCP,54,254,1a:43:20:00:01:00,1a:43:20:00:01:00,81.131.67.131,62.205.109.173,Transmission Control Protocol,2727,21284,Ftp
20.922852,213.19.160.190,81.131.67.131,TCP,407,3407,1a:43:20:00:01:00,1a:43:20:00:01:00,209.89.41.78,80.171.9.79,Transmission Control Protocol,80,2727,Ftp
20.985352,81.131.67.131,213.19.160.190,TCP,54,454,01:00:01:00:00:00,01:00:01:00:00:00,72.201.93.149,62.131.99.79,Transmission Control Protocol,2727,80,Ftp
21.063477,81.131.67.131,38.115.4.204,UDP,54,554,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,84.149.148.25,Transmission Control Protocol,6346,2727,Ftp
21.063477,81.131.67.131,cpe-139-168-32-121.nb07.nsw.asp.telstra.net,UDP,61,661,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,81.161.144.10,User Datagram Protocol       ,41730,80,Ftp
21.079102,81.131.67.131,d5365529.access.ecotel.net,UDP,61,761,01:00:01:00:00:00,01:00:01:00:00:00,84.97.114.126,24.43.167.12,User Datagram Protocol       ,41730,2094,Ftp
21.094727,81.131.67.131,ip-111.net-82-216-238.rev.numericable.fr,UDP,61,861,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,70.27.127.185,User Datagram Protocol       ,41730,6346,Ftp
21.110352,81.131.67.131,38.115.4.204,UDP,54,954,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,81.131.67.131,User Datagram Protocol       ,41730,6346,Ftp
21.219727,fpigw.ksc.gr.jp,81.131.67.131,TCP,1514,1514,1a:43:20:00:01:00,1a:43:20:00:01:00,81.131.67.131,213.19.160.190,User Datagram Protocol       ,41730,6346,Ftp
21.219727,81.131.67.131,fpigw.ksc.gr.jp,TCP,54,154,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,209.89.41.78,User Datagram Protocol       ,41730,6346,Ftp
21.469727,fpigw.ksc.gr.jp,81.131.67.131,TCP,1514,21514,1a:43:20:00:01:00,1a:43:20:00:01:00,81.131.67.131,81.131.67.131,User Datagram Protocol       ,41730,6346,Ftp
21.469727,81.131.67.131,fpigw.ksc.gr.jp,TCP,54,354,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,81.131.67.131,Transmission Control Protocol,2094,6346,Ftp
21.500977,galton0412w-grc-02-70-27-127-185.dsl.bell.ca,81.131.67.131,Gnutella,87,487,1a:43:20:00:01:00,1a:43:20:00:01:00,81.131.67.131,210.146.64.4,Transmission Control Protocol,80,6346,Ftp
21.579102,81.131.67.131,dslb-084-056-231-176.084.056.pools.vodafone-ip.de,UDP,61,561,01:00:01:00:00:00,01:00:01:00:00:00,210.146.64.4,81.131.67.131,Transmission Control Protocol,2818,6346,Ftp
21.579102,81.131.67.131,62.205.109.173,UDP,61,661,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,81.131.67.131,Transmission Control Protocol,2819,2818,Ftp
